run_id,epoch,K/K(Data),K/K(Data|f),K/K(f),lr,data_dir,val_size,batch_size,discrete_z,z_num_vals,num_workers,min_data_size,data_increment,model_cache_dir,scramble_data_by,val_train_shared,z_num_attributes,interval_patience,allow_final_overfit,interval_patience_tol,include_initial_length
ffdqljhm,5770,6170.62158203125,113.27340698242188,6057.34814453125,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-2,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
nt5m7ncy,4416,11351.4150390625,1001.0963745117188,10350.318359375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-1,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
ue0926at,3027,11522.8583984375,1069.6939697265625,10453.1650390625,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-5,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
fa8d4ueu,3322,11435.0498046875,910.318603515625,10524.7314453125,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-2,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
lpwgsb5q,5386,6966.1162109375,1124.21630859375,5841.89990234375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-1,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
5pc5sp62,3738,11443.3974609375,290.9284973144531,11152.4697265625,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-4,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
r1vdkez3,7854,6259.9541015625,580.4511108398438,5679.5029296875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-5,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
rhf0qb7d,3849,11394.439453125,833.5584106445312,10560.8818359375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-5,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
3x2ejuen,6974,4778.5087890625,199.7677459716797,4578.74072265625,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-5,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
y703y6t0,9676,5412.86279296875,158.06419372558594,5254.798828125,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-3,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
1ldpwwp9,3999,11309.677734375,775.2192993164062,10534.4580078125,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-2,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
84axzybl,5162,7414.65185546875,1149.1995849609375,6265.45263671875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-1,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
0n4ly3ia,3065,11493.935546875,1082.488525390625,10411.447265625,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-2,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
f4e4ge3i,3410,11481.861328125,658.2644653320312,10823.5966796875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-3,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
uz6bwmuk,5474,5500.41943359375,171.94732666015625,5328.47216796875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-3,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
1z4z49ar,6884,7058.11083984375,796.4165649414062,6261.6943359375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-4,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
jrw3tr48,6256,4488.966796875,78.50712585449219,4410.4599609375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-2,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
z7gkzu6s,3733,11500.916015625,327.4248352050781,11173.4912109375,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-4,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
07mnjw8c,5661,11228.1962890625,736.498046875,10491.6982421875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_no-resets_seed-1,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
pbg7r9u8,7713,6743.32861328125,1091.415283203125,5651.91357421875,0.001,/home/mila/e/eric.elmoznino/scratch/complexity_compositionality/data/emergent_languages_2attr_8vals_resets_seed-1,400,50,True,8,0,50,50,,z,False,2,50,True,0.001,True
