Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,49,64,1,0.01,1.0150277440319342
8,49,64,1,0.01,1.0150590779813131
8,49,64,1,0.01,1.0151053152889522
8,49,64,1,0.01,1.015105863889161
8,49,64,1,0.01,1.0149220644191284
8,49,64,1,0.01,1.0151220530154188
8,49,64,1,0.01,1.0151205462212378
8,49,64,1,0.01,1.01515311632749
8,50,64,1,0.01,1.0150296295079886
8,50,64,1,0.01,1.0148585376905974
8,50,64,1,0.01,1.0147761219246993
8,50,64,1,0.01,1.0148875102731374
8,50,64,1,0.01,1.0149531786142398
8,50,64,1,0.01,1.0148213739169083
8,50,64,1,0.01,1.0148843262113483
8,50,64,1,0.01,1.0148787272347852
8,50,64,1,0.01,1.014954710757217
8,50,64,1,0.01,1.014991369883336
8,51,64,1,0.01,1.0147288735596398
8,51,64,1,0.01,1.014779510721076
8,51,64,1,0.01,1.014642831353361
8,51,64,1,0.01,1.0146674626930532
8,51,64,1,0.01,1.0147554202097735
8,51,64,1,0.01,1.0147478041920157
8,51,64,1,0.01,1.014486948543313
8,51,64,1,0.01,1.0148103113779545
8,51,64,1,0.01,1.0146767583218947
8,51,64,1,0.01,1.0148210741121009
8,52,64,1,0.01,1.0145826333492116
8,52,64,1,0.01,1.0145516089485183
8,52,64,1,0.01,1.014421643963572
8,52,64,1,0.01,1.0145443445658318
8,52,64,1,0.01,1.0144608918759672
8,52,64,1,0.01,1.0144610117943151
8,52,64,1,0.01,1.0143607430355719
8,52,64,1,0.01,1.0144072011611451
8,52,64,1,0.01,1.014446165803885
8,52,64,1,0.01,1.0146152761148322
8,53,64,1,0.01,1.0145112024830998
8,53,64,1,0.01,1.0142996735611005
8,53,64,1,0.01,1.0142360179468293
8,53,64,1,0.01,1.014411245231016
8,53,64,1,0.01,1.0142868679540655
8,53,64,1,0.01,1.014332539931393
8,53,64,1,0.01,1.0141306667948242
8,53,64,1,0.01,1.0143213689539965
8,53,64,1,0.01,1.0142893566951168
8,53,64,1,0.01,1.01434039767904
8,54,64,1,0.01,1.0143029797037377
8,54,64,1,0.01,1.0140822682373756
8,54,64,1,0.01,1.0141562000755615
8,54,64,1,0.01,1.0141631378285636
8,54,64,1,0.01,1.0142412620489254
8,54,64,1,0.01,1.0140130183167406
8,54,64,1,0.01,1.0138797339297305
8,54,64,1,0.01,1.0140850735142877
8,54,64,1,0.01,1.0140998531889636
8,54,64,1,0.01,1.0142448958236918
8,55,64,1,0.01,1.013983441123445
8,55,64,1,0.01,1.0139177697960253
8,55,64,1,0.01,1.0138939083532224
8,55,64,1,0.01,1.0139727123598303
8,55,64,1,0.01,1.0139574743302562
8,55,64,1,0.01,1.0139335664407034
8,55,64,1,0.01,1.013869996853489
8,55,64,1,0.01,1.0139056727014772
8,55,64,1,0.01,1.0138825922695156
8,55,64,1,0.01,1.014028744598898
8,56,64,1,0.01,1.0137965352819973
8,56,64,1,0.01,1.013791751589
8,56,64,1,0.01,1.0136796720540096
8,56,64,1,0.01,1.0136925150429705
8,56,64,1,0.01,1.0136513989604605
8,56,64,1,0.01,1.0138242320101314
8,56,64,1,0.01,1.013721902494562
8,56,64,1,0.01,1.0138025186833692
8,56,64,1,0.01,1.0137505802817057
8,56,64,1,0.01,1.0138767810664906
8,57,64,1,0.01,1.0136502045724642
8,57,64,1,0.01,1.0135293867862398
8,57,64,1,0.01,1.0134593157791527
8,57,64,1,0.01,1.0135207493453173
8,57,64,1,0.01,1.0135751886932922
8,57,64,1,0.01,1.013578845183386
8,57,64,1,0.01,1.0134622995964755
8,57,64,1,0.01,1.0135443459761844
8,57,64,1,0.01,1.0136101555177983
8,57,64,1,0.01,1.013572212756907
8,58,64,1,0.01,1.013389385655821
8,58,64,1,0.01,1.0134541392678074
8,58,64,1,0.01,1.0133813475497302
8,58,64,1,0.01,1.0133865311393466
8,58,64,1,0.01,1.0133664716466795
8,58,64,1,0.01,1.0134199733415596
8,58,64,1,0.01,1.0133789898453174
8,58,64,1,0.01,1.0133948841645204
8,58,64,1,0.01,1.0133755710957735
8,58,64,1,0.01,1.0134110632167403
8,59,64,1,0.01,1.0132849992616195
8,59,64,1,0.01,1.013187953723691
8,59,64,1,0.01,1.0132465425155759
8,59,64,1,0.01,1.0131563626798605
8,59,64,1,0.01,1.0132712522673872
8,59,64,1,0.01,1.0131398339660718
8,59,64,1,0.01,1.0131168033202411
8,59,64,1,0.01,1.013231205235474
8,59,64,1,0.01,1.0132231008359998
8,59,64,1,0.01,1.0133038111757826
8,60,64,1,0.01,1.013050012425511
8,60,64,1,0.01,1.013027124172988
8,60,64,1,0.01,1.0130988849379883
8,60,64,1,0.01,1.013043154419551
8,60,64,1,0.01,1.0130764624288622
8,60,64,1,0.01,1.0130838770035087
8,60,64,1,0.01,1.012926871024502
8,60,64,1,0.01,1.0129811347835498
8,60,64,1,0.01,1.0130923300065668
8,60,64,1,0.01,1.0131276831868574
8,61,64,1,0.01,1.012851132725568
8,61,64,1,0.01,1.0129229634615646
8,61,64,1,0.01,1.0128936255079632
8,61,64,1,0.01,1.012849136516812
8,61,64,1,0.01,1.012952164014992
8,61,64,1,0.01,1.0128943430367814
8,61,64,1,0.01,1.012767954121002
8,61,64,1,0.01,1.0128779796489635
8,61,64,1,0.01,1.0129616454890116
8,61,64,1,0.01,1.012969145023803
8,62,64,1,0.01,1.01282418365127
8,62,64,1,0.01,1.0127383922441553
8,62,64,1,0.01,1.0127575099677204
8,62,64,1,0.01,1.0127530668611597
8,62,64,1,0.01,1.0127347151202626
8,62,64,1,0.01,1.0127545282538535
8,62,64,1,0.01,1.0126258811097744
8,62,64,1,0.01,1.0127909213908328
8,62,64,1,0.01,1.0127113281923557
8,62,64,1,0.01,1.0128472561733561
8,63,64,1,0.01,1.012595325344315
8,63,64,1,0.01,1.0126369887702182
8,63,64,1,0.01,1.0125683204589921
8,63,64,1,0.01,1.0125402990929824
8,63,64,1,0.01,1.0125061573310372
8,63,64,1,0.01,1.012674095000038
8,63,64,1,0.01,1.0125003309552807
8,63,64,1,0.01,1.0125788879132052
8,63,64,1,0.01,1.012527037664502
8,63,64,1,0.01,1.012604677476583
8,64,64,1,0.01,1.012470266818381
8,64,64,1,0.01,1.0124462637958151
8,64,64,1,0.01,1.012437430164938
8,64,64,1,0.01,1.0124507544471428
8,64,64,1,0.01,1.012386607872684
8,64,64,1,0.01,1.0124153514743168
8,64,64,1,0.01,1.0123085414444264
8,64,64,1,0.01,1.012481645903603
8,64,64,1,0.01,1.0125264811867052
8,64,64,1,0.01,1.0125356021049787
8,65,64,1,0.01,1.0123204701614479
8,65,64,1,0.01,1.0123350851780235
8,65,64,1,0.01,1.0123047230066116
8,65,64,1,0.01,1.0122911692893275
8,65,64,1,0.01,1.01226622822327
8,65,64,1,0.01,1.0123162122566907
8,65,64,1,0.01,1.0121541628557964
8,65,64,1,0.01,1.012373583808543
8,65,64,1,0.01,1.0122416525857552
8,65,64,1,0.01,1.0123151922631277
8,66,64,1,0.01,1.012089547891318
8,66,64,1,0.01,1.0122490906347135
8,66,64,1,0.01,1.0121492498207039
8,66,64,1,0.01,1.012124590637697
8,66,64,1,0.01,1.0121371926777372
8,66,64,1,0.01,1.0121656425213619
8,66,64,1,0.01,1.0120197474157635
8,66,64,1,0.01,1.0122025257962337
8,66,64,1,0.01,1.0121092009721158
8,66,64,1,0.01,1.0122177276449962
8,67,64,1,0.01,1.0120224273364737
8,67,64,1,0.01,1.012104080825423
8,67,64,1,0.01,1.011963476181959
8,67,64,1,0.01,1.011940343714158
8,67,64,1,0.01,1.0119893365137849
8,67,64,1,0.01,1.0119590199468846
8,67,64,1,0.01,1.0118570545624603
8,67,64,1,0.01,1.0119901280998178
8,67,64,1,0.01,1.0120358723250384
8,67,64,1,0.01,1.012111817383544
8,68,64,1,0.01,1.0119466198689113
8,68,64,1,0.01,1.0119212045527222
